n,k,A01_ET,A04_ET
874.0,164.0,0.0006577968597412109,0.19505977630615234
712.0,310.0,0.00037550926208496094,0.24447369575500488
926.0,586.0,0.0005862712860107422,0.5262360572814941
239.0,122.0,7.748603820800781e-05,0.03223705291748047
519.0,251.0,0.00022745132446289062,0.15610647201538086
550.0,267.0,0.0002663135528564453,0.1566145420074463
156.0,108.0,4.792213439941406e-05,0.017662763595581055
349.0,165.0,0.00013065338134765625,0.0629274845123291
574.0,393.0,0.0002608299255371094,0.20757174491882324
959.0,369.0,0.0005946159362792969,0.40416383743286133
153.0,48.0,5.2928924560546875e-05,0.011262655258178711
518.0,171.0,0.0002219676971435547,0.10426473617553711
835.0,435.0,0.0004489421844482422,0.3757350444793701
286.0,196.0,9.5367431640625e-05,0.05240225791931152
853.0,338.0,0.0003490447998046875,0.32685375213623047
303.0,107.0,5.745887756347656e-05,0.03892159461975098
626.0,84.0,0.00018024444580078125,0.07021927833557129
919.0,688.0,0.0003848075866699219,0.5527257919311523
461.0,162.0,0.0001430511474609375,0.0871114730834961
434.0,246.0,9.369850158691406e-05,0.10766196250915527
629.0,256.0,0.000171661376953125,0.18459367752075195
334.0,217.0,6.389617919921875e-05,0.06918883323669434
765.0,270.0,0.0002772808074951172,0.23631024360656738
818.0,107.0,0.0002808570861816406,0.11617588996887207
552.0,431.0,0.00019431114196777344,0.2032942771911621
347.0,319.0,7.390975952148438e-05,0.08426022529602051
710.0,536.0,0.0002651214599609375,0.3363773822784424
904.0,466.0,0.000362396240234375,0.4360353946685791
820.0,128.0,0.0004036426544189453,0.136765718460083
879.0,544.0,0.0003666877746582031,0.4665532112121582
529.0,138.0,0.000152587890625,0.09006905555725098
549.0,400.0,0.00013875961303710938,0.19529151916503906
705.0,20.0,0.00030040740966796875,0.022548913955688477
952.0,383.0,0.0004150867462158203,0.40757226943969727
953.0,270.0,0.0004017353057861328,0.31313133239746094
829.0,787.0,0.00035643577575683594,0.47971010208129883
371.0,99.0,0.00010514259338378906,0.046207427978515625
637.0,379.0,0.00021886825561523438,0.23757004737854004
189.0,58.0,3.147125244140625e-05,0.015362262725830078
530.0,226.0,0.0001461505889892578,0.13721060752868652
233.0,180.0,5.8650970458984375e-05,0.03749895095825195
314.0,152.0,6.699562072753906e-05,0.05183219909667969
423.0,74.0,9.441375732421875e-05,0.04209184646606445
112.0,103.0,1.71661376953125e-05,0.010851383209228516
293.0,271.0,5.555152893066406e-05,0.05960202217102051
873.0,844.0,0.0003752708435058594,0.5304884910583496
690.0,332.0,0.0002334117889404297,0.24841094017028809
728.0,485.0,0.0002460479736328125,0.33010053634643555
865.0,530.0,0.00033402442932128906,0.4451792240142822
690.0,458.0,0.0002396106719970703,0.3006749153137207
